Field Name	JS Datatype	Default	Java Datatype	Description
includeInMinMax	Boolean	TRUE	boolean	Whether to include this graph when calculating min and max value of the axis.
labelAnchor	String	auto	String	Data label text anchor.
labelColorField	String		String	Name of label color field in data provider.
labelFunction			IsFunction	You can use it to format labels of data items in any way you want. Graph will call this function and pass reference to GraphDataItem and formatted text as attributes. This function should return string which will be displayed as label.
labelOffset	Number	0	double	Offset of data label.
labelPosition	String	top	String	"Position of value label. Possible values are: 'bottom', 'top', 'right', 'left', 'inside', 'middle'. Sometimes position is changed by the chart, depending on a graph type, rotation, etc."
labelRotation	Number	0	double	Rotation of a data label.
labelText	String		String	"Value label text. You can use tags like [[value]], [[description]], [[percents]], [[open]], [[category]]."
legendAlpha	Number		double	Legend marker opacity. Will use lineAlpha if not set. Value range is 0 - 1.
legendColor	Color		String	Legend marker color. Will use lineColor if not set.
legendPeriodValueText	String		String	The text which will be displayed in the value portion of the legend when user is not hovering above any data point. The tags should be made out of two parts - the name of a field (value / open / close / high / low) and the value of the period you want to be show - open / close / high / low / sum / average / count. For example: [[value.sum]] means that sum of all data points of value field in the selected period will be displayed.
legendValueText	String		String	"Legend value text. You can use tags like [[value]], [[description]], [[percents]], [[open]], [[category]] You can also use custom fields from your dataProvider. If not set, uses Legend's valueText."
lineAlpha	Number	1	double	Opacity of the line (or column border). Value range is 0 - 1.
lineColor	Color		String	"Color of the line (or column border). If you do not set any, the color fromAmCoordinateChart.colors array will be used for each subsequent graph."
lineColorField	String		String	Name of the line color field in your dataProvider. This property adds a possibility to change graphs line color on any data point to create highlighted sections of the graph. Works only withAmSerialChart.
lineThickness	Number	1	double	Specifies thickness of the graph line (or column border).
lowField	String		String	Name of the low field (used by candlesticks and ohlc) in your dataProvider.
markerType	String		String	"Legend marker type. You can set legend marker (key) type for individual graphs. Possible values are: square, circle, diamond, triangleUp, triangleDown, triangleLeft, triangleDown, bubble, line, none."
maxBulletSize	Number	50	double	Specifies size of the bullet which value is the biggest (XY chart).
minBulletSize	Number	0	double	Specifies minimum size of the bullet (XY chart).
minDistance	Number	1	double	"It is useful if you have really lots of data points. Based on this property the graph will omit some of the lines (if the distance between points is less that minDistance, in pixels). This will not affect the bullets or indicator in anyway, so the user will not see any difference (unless you set minValue to a bigger value, let say 5), but will increase performance as less lines will be drawn. By setting value to a bigger number you can also make your lines look less jagged."
negativeBase	Number	0	double	"If you use different colors for your negative values, a graph below zero line is filled with negativeColor. With this property you can define a different base value at which colors should be changed to negative colors."
negativeFillAlphas	Number		double	Fill opacity of negative part of the graph. Will use fillAlphas if not set.
negativeFillColors	Color		String	Fill color of negative part of the graph. Will use fillColors if not set.
negativeLineAlpha	Number	1	double	Opacity of the negative portion of the line (or column border). Value range is 0 - 1.
negativeLineColor	Color		String	"Color of the line (or column) when the values are negative. In case the graph type is candlestick or ohlc, negativeLineColor is used when close value is less then open value."
newStack	Boolean	FALSE	boolean	"If you set it to true, column chart will begin new stack. This allows having Clustered and Stacked column/bar chart."
noStepRisers	Boolean	FALSE	boolean	"In case you want to have a step line graph without risers, you should set this to true."
openField	String		String	"Name of the open field (used by floating columns, candlesticks and ohlc) in your dataProvider."
pattern	Object		Object	"Value of pattern should be object with url, width, height of an image, optionally it might have x, y, randomX and randomY values. For example: {'url':'../amcharts/patterns/black/pattern1.png', 'width':4, 'height':4}. If you want to have individual patterns for each column, define patterns in data provider and set graph.patternField property. Check amcharts/patterns folder for some patterns. You can create your own patterns and use them. Note, x, y, randomX and randomY properties won't work with IE8 and older. 3D bar/Pie charts won't work properly with patterns."
patternField	String		String	"Field name in your data provider which holds pattern information. Value of pattern should be object with url, width, height of an image, optionally it might have x, y, randomX and randomY values. For example: {'url':'../amcharts/patterns/black/pattern1.png', 'width':4, 'height':4}. Check amcharts/patterns folder for some patterns. You can create your own patterns and use them. Note, x, y, randomX and randomY properties won't work with IE8 and older. 3D bar/Pie charts won't work properly with patterns."
periodSpan	Number	1	double	This property can be used by step graphs - you can set how many periods one horizontal line should span.
pointPosition	String	middle	String	"Specifies where data points should be placed - on the beginning of the period (day, hour, etc) or in the middle (only when parseDates property of categoryAxis is set to true). This setting affects Serial chart only. Possible values are 'start', 'middle' and 'end'"
precision	Number		double	Precision of values. Will use chart's precision if not set any.
proCandlesticks	Boolean	FALSE	boolean	"If this is set to true, candlesticks will be colored in a different manner - if current close is less than current open, the candlestick will be empty, otherwise - filled with color. If previous close is less than current close, the candlestick will use positive color, otherwise - negative color."
showAllValueLabels	Boolean	FALSE	boolean	"If graph's type is column and labelText is set, graph hides labels which do not fit into the column's space. If you don't want these labels to be hidden, set this to true."
showBalloon	Boolean	TRUE	boolean	Specifies whether the value balloon of this graph is shown when mouse is over data item or chart's indicator is over some series.
showBalloonAt	String	close	String	"Specifies graphs value at which cursor is showed. This is only important for candlestick and ohlc charts, also if column chart has 'open' value. Possible values are: 'open', 'close', 'high', 'low'."
showBulletsAt	String	close	String	"Works with candlestick graph type, you can set it to open, close, high, low. If you set it to high, the events will be shown at the tip of the high line."
showHandOnHover	Boolean	FALSE	boolean	"If you want mouse pointer to change to hand when hovering the graph, set this property to true."
showOnAxis	Boolean	FALSE	boolean	"It can only be used together with topRadius (when columns look like cylinders). If you set it to true, the cylinder will be lowered down so that the center of it's bottom circle would be right on category axis."
stackable	Boolean	TRUE	boolean	"If the value axis of this graph has stack types like 'regular' or 100 You can exclude this graph from stacking."
stepDirection	String	right	String	Step graph only. Specifies to which direction step should be drawn.
switchable	Boolean	TRUE	boolean	"If you set it to false, the graph will not be hidden when user clicks on legend entry."
title	String		String	Graph title.
topRadius	Number		double	"If you set this to 1, columns will become cylinders (must set depth3D and angle properties of a chart to >0 values in order this to be visible). you can make columns look like cones (set topRadius to 0) or even like some glasses (set to bigger than 1). We strongly recommend setting grid opacity to 0 in order this to look good."
type	String	line	String	"Type of the graph. Possible values are: 'line', 'column', 'step', 'smoothedLine', 'candlestick', 'ohlc'. XY and Radar charts can only display 'line' type graphs."
urlField	String		String	Name of the url field in your dataProvider.
urlTarget	String		String	"Target to open URLs in, i.e. _blank, _top, etc."
useNegativeColorIfDown	Boolean	FALSE	boolean	"If negativeLineColor and/or negativeFillColors are set and useNegativeColorIfDown is set to true (default is false), the line, step and column graphs will use these colors for lines, bullets or columns if previous value is bigger than current value. In case you set openField for the graph, the graph will compare current value with openField value instead of comparing to previous value. Here is a demo."
valueAxis	ValueAxis	ValueAxis	IsValueAxis	Specifies which value axis the graph will use. Will use the first value axis if not set. You can use reference to the real ValueAxis object or set value axis id.
valueField	String		String	Name of the value field in your dataProvider.
visibleInLegend	Boolean	TRUE	boolean	Specifies whether this graph should be shown in the Legend.
xAxis	ValueAxis	ValueAxis	IsValueAxis	XY chart only. A horizontal value axis object to attach graph to.
xField	String		String	XY chart only. Name of the x field in your dataProvider.
yAxis	ValueAxis	ValueAxis	IsValueAxis	XY chart only. A vertical value axis object to attach graph to.
yField	String		String	XY chart only. Name of the y field in your dataProvider.
